hei_score,risk_class,risk_code,pop_raw,ndvi_raw,lulc_class,urban_class,lst_norm,pop_norm,ndvi_inv_norm,lulc_weight,color_hex
0.3747,Moderate Risk,3,1.0667438507080078,0.104581,Bare Land,Peri-Urban / Sparse,0.3541,0.002431,0.8118,0.70,#FFAA00
0.3752,Moderate Risk,3,1.0768667459487915,0.104187,Bare Land,Peri-Urban / Sparse,0.3541,0.002454,0.8141,0.70,#FFAA00
0.3747,Moderate Risk,3,1.087883710861206,0.104632,Bare Land,Peri-Urban / Sparse,0.3541,0.002480,0.8115,0.70,#FFAA00
0.3757,Moderate Risk,3,1.1009505987167358,0.103818,Bare Land,Peri-Urban / Sparse,0.3541,0.002509,0.8163,0.70,#FFAA00
0.3763,Moderate Risk,3,1.1087483167648315,0.103255,Bare Land,Peri-Urban / Sparse,0.3541,0.002527,0.8196,0.70,#FFAA00
0.3765,Moderate Risk,3,1.1171303987503052,0.103107,Bare Land,Peri-Urban / Sparse,0.3541,0.002546,0.8204,0.70,#FFAA00
0.3761,Moderate Risk,3,1.1265075206756592,0.103494,Bare Land,Peri-Urban / Sparse,0.3541,0.002568,0.8182,0.70,#FFAA00
0.3755,Moderate Risk,3,1.1341882944107056,0.103985,Bare Land,Peri-Urban / Sparse,0.3541,0.002585,0.8153,0.70,#FFAA00
0.3768,Moderate Risk,3,1.1395537853240967,0.102823,Bare Land,Peri-Urban / Sparse,0.3541,0.002597,0.8221,0.70,#FFAA00
0.3750,Moderate Risk,3,1.1421951055526733,0.104406,Bare Land,Peri-Urban / Sparse,0.3541,0.002603,0.8129,0.70,#FFAA00
0.3752,Moderate Risk,3,1.1410279273986816,0.104210,Bare Land,Peri-Urban / Sparse,0.3541,0.002601,0.8140,0.70,#FFAA00
0.3744,Moderate Risk,3,1.1343300342559814,0.104909,Bare Land,Peri-Urban / Sparse,0.3541,0.002585,0.8099,0.70,#FFAA00
0.3757,Moderate Risk,3,1.1264235973358154,0.103792,Bare Land,Peri-Urban / Sparse,0.3541,0.002567,0.8164,0.70,#FFAA00
0.3755,Moderate Risk,3,1.1178128719329834,0.103960,Bare Land,Peri-Urban / Sparse,0.3541,0.002548,0.8155,0.70,#FFAA00
0.3755,Moderate Risk,3,1.1079139709472656,0.103961,Bare Land,Peri-Urban / Sparse,0.3541,0.002525,0.8155,0.70,#FFAA00
0.3743,Moderate Risk,3,1.0944994688034058,0.104967,Bare Land,Peri-Urban / Sparse,0.3541,0.002495,0.8096,0.70,#FFAA00
0.3739,Moderate Risk,3,1.0851061344146729,0.105293,Bare Land,Peri-Urban / Sparse,0.3541,0.002473,0.8077,0.70,#FFAA00
0.3738,Moderate Risk,3,1.0784574747085571,0.105373,Bare Land,Peri-Urban / Sparse,0.3541,0.002458,0.8072,0.70,#FFAA00
0.3732,Moderate Risk,3,1.0743021965026855,0.105950,Bare Land,Peri-Urban / Sparse,0.3541,0.002449,0.8039,0.70,#FFAA00
0.3723,Moderate Risk,3,1.0700575113296509,0.106660,Bare Land,Peri-Urban / Sparse,0.3541,0.002439,0.7997,0.70,#FFAA00
0.3727,Moderate Risk,3,1.065708041191101,0.106289,Bare Land,Peri-Urban / Sparse,0.3541,0.002429,0.8019,0.70,#FFAA00
0.3720,Moderate Risk,3,1.0643607378005981,0.106884,Bare Land,Peri-Urban / Sparse,0.3541,0.002426,0.7984,0.70,#FFAA00
0.3711,Moderate Risk,3,1.067874550819397,0.107746,Bare Land,Peri-Urban / Sparse,0.3541,0.002434,0.7934,0.70,#FFAA00
0.3704,Moderate Risk,3,1.0734106302261353,0.108310,Bare Land,Peri-Urban / Sparse,0.3541,0.002447,0.7901,0.70,#FFAA00
0.3698,Moderate Risk,3,1.0769693851470947,0.108787,Bare Land,Peri-Urban / Sparse,0.3541,0.002455,0.7873,0.70,#FFAA00
0.3693,Moderate Risk,3,1.0799106359481812,0.109218,Bare Land,Peri-Urban / Sparse,0.3541,0.002461,0.7848,0.70,#FFAA00
0.3699,Moderate Risk,3,1.0863991975784302,0.108746,Bare Land,Peri-Urban / Sparse,0.3541,0.002476,0.7876,0.70,#FFAA00
0.3699,Moderate Risk,3,1.0964463949203491,0.108767,Bare Land,Peri-Urban / Sparse,0.3541,0.002499,0.7874,0.70,#FFAA00
0.3691,Moderate Risk,3,1.108188509941101,0.109405,Bare Land,Peri-Urban / Sparse,0.3541,0.002526,0.7837,0.70,#FFAA00
0.3682,Moderate Risk,3,1.122367024421692,0.110186,Bare Land,Peri-Urban / Sparse,0.3541,0.002558,0.7792,0.70,#FFAA00
0.3680,Moderate Risk,3,1.134216547012329,0.110402,Bare Land,Peri-Urban / Sparse,0.3541,0.002585,0.7779,0.70,#FFAA00
0.3672,Moderate Risk,3,1.14263916015625,0.111101,Bare Land,Peri-Urban / Sparse,0.3541,0.002604,0.7738,0.70,#FFAA00
0.3652,Moderate Risk,3,1.1439917087554932,0.112791,Bare Land,Peri-Urban / Sparse,0.3541,0.002607,0.7640,0.70,#FFAA00
0.3656,Moderate Risk,3,1.1434991359710693,0.112474,Bare Land,Peri-Urban / Sparse,0.3541,0.002606,0.7658,0.70,#FFAA00
0.3758,Moderate Risk,3,1.103804111480713,0.103693,Bare Land,Peri-Urban / Sparse,0.3541,0.002516,0.8170,0.70,#FFAA00
0.3761,Moderate Risk,3,1.1024370193481445,0.103453,Bare Land,Peri-Urban / Sparse,0.3541,0.002513,0.8184,0.70,#FFAA00
0.3753,Moderate Risk,3,1.0990267992019653,0.104098,Bare Land,Peri-Urban / Sparse,0.3541,0.002505,0.8147,0.70,#FFAA00
0.3752,Moderate Risk,3,1.0919561386108398,0.104220,Bare Land,Peri-Urban / Sparse,0.3541,0.002489,0.8140,0.70,#FFAA00
0.3737,Moderate Risk,3,1.0895832777023315,0.105491,Bare Land,Peri-Urban / Sparse,0.3541,0.002483,0.8065,0.70,#FFAA00
0.3745,Moderate Risk,3,1.0826799869537354,0.104806,Bare Land,Peri-Urban / Sparse,0.3541,0.002468,0.8105,0.70,#FFAA00
